mask,bbdc3,bbdc4
2023 01 04 10 07 00.000,12.7,14
2023 01 04 10 08 00.000,12.54,14.14
2023 01 04 10 09 00.000,12.54,14.08
2023 01 04 10 10 00.000,12.64,14.14
2023 01 04 10 11 00.000,12.67,14.12
2023 01 04 10 12 00.000,12.67,14.14
2023 01 04 10 13 00.000,12.65,14.14
2023 01 04 10 14 00.000,12.69,14.18
2023 01 04 10 15 00.000,12.71,14.17
2023 01 04 10 16 00.000,12.68,14.17
2023 01 04 10 17 00.000,12.71,14.21
2023 01 04 10 18 00.000,12.72,14.21
2023 01 04 10 19 00.000,12.7,14.17
2023 01 04 10 20 00.000,12.7,14.16
2023 01 04 10 21 00.000,12.7,14.19
2023 01 04 10 22 00.000,12.7,14.2
2023 01 04 10 23 00.000,12.74,14.21
2023 01 04 10 24 00.000,12.74,14.19
2023 01 04 10 25 00.000,12.74,14.17
2023 01 04 10 26 00.000,12.74,14.16
2023 01 04 10 27 00.000,12.7,14.12
2023 01 04 10 28 00.000,12.71,14.11
2023 01 04 10 29 00.000,12.68,14.11
2023 01 04 10 30 00.000,12.69,14.11
2023 01 04 10 31 00.000,12.69,14.1
2023 01 04 10 32 00.000,12.69,14.14
2023 01 04 10 33 00.000,12.69,14.14
2023 01 04 10 34 00.000,12.69,14.15
2023 01 04 10 35 00.000,12.69,14.13
2023 01 04 10 36 00.000,12.69,14.12
2023 01 04 10 37 00.000,12.69,14.13
2023 01 04 10 38 00.000,12.69,14.11
2023 01 04 10 39 00.000,12.69,14.16
2023 01 04 10 40 00.000,12.69,14.11
2023 01 04 10 41 00.000,12.69,14.13
2023 01 04 10 42 00.000,12.69,14.13
2023 01 04 10 43 00.000,12.69,14.11
2023 01 04 10 44 00.000,12.69,14.12
2023 01 04 10 45 00.000,12.69,14.08
2023 01 04 10 46 00.000,12.69,14.07
2023 01 04 10 47 00.000,12.69,14.08
2023 01 04 10 48 00.000,12.69,14.08
2023 01 04 10 49 00.000,12.69,14.08
2023 01 04 10 50 00.000,12.69,14.08
2023 01 04 10 51 00.000,12.69,14.08
2023 01 04 10 52 00.000,12.64,14.05
2023 01 04 10 53 00.000,12.65,14.03
2023 01 04 10 54 00.000,12.61,14
2023 01 04 10 55 00.000,12.6,14
2023 01 04 10 56 00.000,12.6,14.01
2023 01 04 10 57 00.000,12.62,14.01
2023 01 04 10 58 00.000,12.62,14.02
2023 01 04 10 59 00.000,12.62,14.01
2023 01 04 11 00 00.000,12.62,13.98
2023 01 04 11 01 00.000,12.61,14
2023 01 04 11 02 00.000,12.61,13.98
2023 01 04 11 03 00.000,12.6,13.98
2023 01 04 11 04 00.000,12.59,13.96
2023 01 04 11 05 00.000,12.59,13.97
2023 01 04 11 06 00.000,12.6,13.96
2023 01 04 11 07 00.000,12.6,13.97
2023 01 04 11 08 00.000,12.62,13.98
2023 01 04 11 09 00.000,12.62,13.98
2023 01 04 11 10 00.000,12.62,13.97
2023 01 04 11 11 00.000,12.62,13.96
2023 01 04 11 12 00.000,12.62,13.95
2023 01 04 11 13 00.000,12.62,13.96
2023 01 04 11 14 00.000,12.62,13.98
2023 01 04 11 15 00.000,12.58,13.94
2023 01 04 11 16 00.000,12.57,13.94
2023 01 04 11 17 00.000,12.57,13.96
2023 01 04 11 18 00.000,12.57,13.98
2023 01 04 11 19 00.000,12.59,13.97
2023 01 04 11 20 00.000,12.59,13.99
2023 01 04 11 21 00.000,12.59,14
2023 01 04 11 22 00.000,12.59,14
2023 01 04 11 23 00.000,12.61,13.99
2023 01 04 11 24 00.000,12.61,13.95
2023 01 04 11 25 00.000,12.58,13.98
2023 01 04 11 26 00.000,12.57,13.95
2023 01 04 11 27 00.000,12.57,13.94
2023 01 04 11 28 00.000,12.57,13.92
2023 01 04 11 29 00.000,12.54,13.9
2023 01 04 11 30 00.000,12.54,13.93
2023 01 04 11 31 00.000,12.54,13.92
2023 01 04 11 32 00.000,12.54,13.93
2023 01 04 11 33 00.000,12.56,13.92
2023 01 04 11 34 00.000,12.56,13.92
2023 01 04 11 35 00.000,12.56,13.89
2023 01 04 11 36 00.000,12.53,13.88
2023 01 04 11 37 00.000,12.53,13.88
2023 01 04 11 38 00.000,12.53,13.89
2023 01 04 11 39 00.000,12.53,13.88
2023 01 04 11 40 00.000,12.57,13.9
2023 01 04 11 41 00.000,12.57,13.89
2023 01 04 11 42 00.000,12.55,13.89
2023 01 04 11 43 00.000,12.56,13.89
2023 01 04 11 44 00.000,12.56,13.89
2023 01 04 11 45 00.000,12.56,13.9
2023 01 04 11 46 00.000,12.57,13.9
2023 01 04 11 47 00.000,12.59,13.94
2023 01 04 11 48 00.000,12.59,13.98
2023 01 04 11 49 00.000,12.62,13.96
2023 01 04 11 50 00.000,12.63,14
2023 01 04 11 51 00.000,12.67,14
2023 01 04 11 52 00.000,12.61,13.92
2023 01 04 11 53 00.000,12.61,13.93
2023 01 04 11 54 00.000,12.59,13.92
2023 01 04 11 55 00.000,12.59,13.91
2023 01 04 11 56 00.000,12.56,13.9
2023 01 04 11 57 00.000,12.56,13.9
2023 01 04 11 58 00.000,12.56,13.89
2023 01 04 11 59 00.000,12.54,13.87
2023 01 04 12 00 00.000,12.53,13.87
2023 01 04 12 01 00.000,12.53,13.88
2023 01 04 12 02 00.000,12.55,13.87
2023 01 04 12 03 00.000,12.55,13.88
2023 01 04 12 04 00.000,12.55,13.84
2023 01 04 12 05 00.000,12.55,13.82
2023 01 04 12 06 00.000,12.55,13.83
2023 01 04 12 07 00.000,12.51,13.82
2023 01 04 12 08 00.000,12.5,13.82
2023 01 04 12 09 00.000,12.5,13.83
2023 01 04 12 10 00.000,12.49,13.84
2023 01 04 12 11 00.000,12.48,13.83
2023 01 04 12 12 00.000,12.48,13.85
2023 01 04 12 13 00.000,12.51,13.85
2023 01 04 12 14 00.000,12.49,13.85
2023 01 04 12 15 00.000,12.49,13.86
2023 01 04 12 16 00.000,12.49,13.87
2023 01 04 12 17 00.000,12.49,13.89
2023 01 04 12 18 00.000,12.49,13.9
2023 01 04 12 19 00.000,12.49,13.89
2023 01 04 12 20 00.000,12.49,13.87
2023 01 04 12 21 00.000,12.49,13.85
2023 01 04 12 22 00.000,12.49,13.85
2023 01 04 12 23 00.000,12.49,13.84
